global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
58709,415,24.959144,89,1,0,2.380827,0.480028
58835,416,-25.789268,126,0,1,8.829910,8.320924
59116,417,0.191959,281,1,0,3.054528,0.474882
59147,418,-17.719740,31,0,1,3.685582,2.879064
59279,419,-28.311903,132,0,1,12.147485,10.528650
59362,420,-27.316047,83,0,1,17.716288,16.532911
59680,421,3.717156,318,1,0,3.581624,0.488560
59765,422,32.573450,85,1,0,3.225603,0.454886
59865,423,-30.877763,100,0,1,10.660142,10.891869
60031,424,-34.798782,166,0,1,5.066617,3.823482
60145,425,-16.251594,114,0,1,5.609069,3.526145
60159,426,-16.851197,14,0,1,4.511135,4.370006
60249,427,30.009763,90,1,0,3.111506,0.462148
60308,428,-28.396577,59,0,1,12.098248,12.440813
60397,429,32.642965,89,1,0,3.413703,0.472626
60465,430,32.594719,68,1,0,2.677084,0.460885
60609,431,37.818776,144,1,0,5.023495,0.477731
60643,432,-18.707573,34,0,1,5.291272,4.675431
60871,433,38.390119,228,1,0,6.306816,0.461920
60878,434,-17.592096,7,0,1,14.616497,14.625969
60999,435,25.685591,121,1,0,3.463505,0.490933
61168,436,30.698900,169,1,0,4.694115,0.456947
61492,437,27.680654,324,1,0,8.076898,0.494573
61593,438,-23.019204,101,0,1,4.219787,1.911675
61640,439,-19.812905,47,0,1,3.739439,3.063745
61718,440,26.975502,78,1,0,2.195098,0.491451
61872,441,-43.624966,154,0,1,4.699319,5.905104
62249,442,25.344787,377,1,0,8.889630,0.471603
62422,443,-43.390240,173,0,1,4.973370,5.992386
62478,444,25.006456,56,1,0,1.739999,0.477740
62566,445,29.704514,88,1,0,2.438324,0.494656
62699,446,-27.239926,133,0,1,5.471189,3.416220
62830,447,28.800106,131,1,0,4.231782,0.460203
62921,448,24.143523,91,1,0,3.074114,0.436356
62934,449,-17.459322,13,0,1,7.187718,7.046837
63078,450,27.594488,144,1,0,4.913811,0.447170
63210,451,-30.176318,132,0,1,3.363693,2.255602
63327,452,23.438516,117,1,0,3.655403,0.454198
63334,453,-17.316111,7,0,1,12.388525,12.379581
63458,454,27.677552,124,1,0,3.059453,0.470298
63756,455,4.456792,298,1,0,3.365351,0.483020
63939,456,-31.844097,183,0,1,3.839635,1.064503
64072,457,-17.775942,133,0,1,4.135815,0.770657
64572,458,-90.802498,500,0,0,11.022523,10.979522
64604,459,-24.438772,32,0,1,1.891184,1.420573
64610,460,-17.056832,6,0,1,11.269454,11.263284
64756,461,-61.027240,146,0,1,5.019432,4.847222
64897,462,26.564891,141,1,0,3.865833,0.469025
65041,463,29.088436,144,1,0,3.987230,0.480711
65051,464,-17.774927,10,0,1,6.120073,6.217817
65226,465,28.355913,175,1,0,5.067787,0.478334
65318,466,35.601201,92,1,0,3.656270,0.424502
65737,467,-47.076547,419,0,1,11.865284,6.271009
65839,468,-14.054099,102,0,1,5.532178,3.276406
65895,469,29.071710,56,1,0,2.250411,0.487629
65911,470,-18.455631,16,0,1,6.091941,6.198302
65962,471,32.913511,51,1,0,2.185689,0.471623
66062,472,28.586193,100,1,0,2.747492,0.494353
66088,473,-17.547516,26,0,1,2.727284,2.574664
66171,474,23.953194,83,1,0,2.005811,0.481703
66240,475,33.824842,69,1,0,2.860628,0.465448
66341,476,34.138308,101,1,0,3.857162,0.492472
66559,477,35.388647,218,1,0,6.771102,0.471318
66698,478,-20.831987,139,0,1,5.357055,2.335944
66725,479,-19.979732,27,0,1,2.487108,2.329678
66743,480,-16.276893,18,0,1,3.325389,2.931922
66818,481,28.830928,75,1,0,2.411613,0.487451
66881,482,32.387312,63,1,0,2.388690,0.454035
67044,483,20.866379,163,1,0,3.295326,0.472565
67162,484,-14.459062,118,0,1,4.454528,1.805415
67356,485,-29.335950,194,0,1,6.947834,4.857323
67565,486,29.989164,209,1,0,5.669068,0.490409
67812,487,31.134408,247,1,0,7.631061,0.485343
67818,488,-17.104815,6,0,1,2.919914,2.985021
67983,489,27.689601,165,1,0,5.109878,0.442194
68010,490,-17.864090,27,0,1,8.184931,7.498511
68066,491,26.855990,56,1,0,1.821019,0.465212
68136,492,29.898219,70,1,0,2.643031,0.441026
68399,493,-71.953499,263,0,1,15.958813,16.029419
68457,494,-25.599672,58,0,1,6.925488,6.306386
68649,495,28.633494,192,1,0,5.659511,0.455738
68656,496,-17.364506,7,0,1,3.362361,3.356262
68701,497,-25.332218,45,0,1,8.364182,8.525592
68901,498,33.206522,200,1,0,6.115776,0.476966
69280,499,11.542318,379,1,0,7.825371,0.490357
69500,500,-46.499369,220,0,1,4.099906,4.347013
69999,501,-17.797908,499,1,0,3.659158,0.499821
70499,502,-87.787446,500,0,0,7.458737,7.556582
70862,503,-3.380470,363,1,0,3.095022,0.491037
71163,504,-16.969579,301,0,1,6.168348,1.108313
71401,505,32.521749,238,1,0,5.730489,0.497604
71625,506,-7.561951,224,0,1,9.577129,2.795162
71671,507,32.216721,46,1,0,2.173614,0.478988
71679,508,-16.139808,8,0,1,3.034451,2.938252
71775,509,36.288719,96,1,0,3.793108,0.481413
71805,510,-22.148672,30,0,1,4.042390,3.953501
71961,511,34.840581,156,1,0,4.475975,0.489052
71988,512,-17.813919,27,0,1,11.877744,11.096564
71996,513,-17.049350,8,0,1,4.313477,4.295549
72161,514,28.357535,165,1,0,4.598979,0.426653
72245,515,-26.911489,84,0,1,6.005410,5.709787
72294,516,-29.158845,49,0,1,3.167343,3.703380
