#{"t_start": 1773980391.1478367, "env_id": "None"}
r,l,t
-19.771596,30,11093.476646
29.569636,83,11104.08514
32.491062,114,11117.794005
26.468609,53,11125.397886
36.687393,206,11148.314372
-16.798836,39,11154.519122
28.656239,54,11162.223
14.543577,253,11189.843082
35.673858,136,11205.752898
-21.111142,24,11210.456429
33.304742,117,11224.466044
25.308427,50,11231.771801
-28.32352,112,11245.280731
-17.049936,13,11248.884487
30.285271,34,11254.587542
-18.211967,13,11258.190922
-23.081667,170,11277.501512
-16.802954,12,11281.004771
27.32563,82,11291.810476
-17.210874,251,11319.228476
30.028656,97,11331.236467
-17.062827,35,11337.042119
33.445581,239,11363.257866
36.211786,151,11380.669631
15.076594,214,11404.385136
30.154256,69,11413.590886
30.811023,50,11420.895219
38.369036,171,11440.30932
-53.828652,500,11492.645779
26.834695,174,11512.360059
37.618838,159,11530.573694
-12.361083,128,11545.683393
36.407005,196,11567.59766
29.842986,61,11576.004796
37.594313,108,11589.1166
29.783977,78,11599.227856
36.690537,172,11618.73925
26.792734,64,11627.446516
22.685861,86,11638.356859
-20.467673,21,11642.760969
27.689201,49,11649.972946
36.907273,104,11662.685094
18.042684,291,11694.123376
38.820372,121,11708.541606
31.7273,86,11719.451245
-18.943541,19,11723.655128
5.62661,323,11758.294942
-24.26822,123,11772.907448
38.858324,218,11797.035012
30.088105,150,11814.357372
-17.796827,7,11817.660928
31.817945,70,11826.972499
-16.884796,16,11830.875801
23.034471,184,11851.606201
-16.967488,7,11854.609169
-41.172284,171,11874.034281
31.278045,97,11886.051442
29.736016,52,11893.563857
-17.463408,174,11913.285678
-6.690981,220,11937.612848
28.633309,67,11946.621691
33.689246,100,11958.938127
33.66981,76,11968.848539
-26.305776,140,11985.167449
34.665269,134,12000.867744
25.556299,125,12015.687027
10.225602,241,12042.116919
28.265069,182,12062.641208
29.401966,80,12072.951296
41.088797,171,12092.375168
-16.307272,9,12095.578326
33.425943,92,12107.095238
22.283208,155,12125.217097
-17.523457,7,12128.220004
34.332113,207,12151.246375
33.880661,66,12160.158545
-18.827907,17,12164.162347
28.551838,172,12183.689751
32.932395,101,12196.101869
27.500751,59,12204.313875
25.772016,53,12211.924013
29.214937,25,12216.734427
-19.745408,23,12221.336396
34.076945,67,12230.346232
31.909205,41,12236.753438
22.512707,210,12260.0739
-16.144212,8,12263.176803
-12.353517,140,12279.488108
-36.314829,160,12297.800307
38.690812,191,12319.216115
-16.190822,10,12322.517302
36.895978,169,12341.729138
27.466493,69,12350.936912
32.661524,68,12360.043763
39.379393,164,12378.737542
-18.798535,28,12384.142879
30.776841,187,12405.157773
34.484523,128,12420.268144
33.094926,119,12434.480252
-34.166372,194,12456.197338
17.950144,159,12474.412848
-16.40392,3,12477.015437
28.733011,180,12497.328758
25.992753,61,12505.735793
22.28732,119,12519.944618
25.060887,99,12532.1536
39.208479,121,12546.563077
31.299872,81,12556.970208
32.649205,77,12566.976897
30.488511,149,12584.189304
28.962554,62,12592.696312
37.114062,92,12604.206526
37.274037,189,12625.421217
35.111451,131,12640.832083
-20.584321,24,12645.53625
35.374848,93,12657.145536
-16.294788,12,12660.648421
30.575952,49,12667.834781
39.091646,235,12693.651566
-19.210408,18,12697.755185
-28.312513,70,12707.062137
30.263331,160,12725.374992
